tx_id,sender,receiver,amount,gas_fee,timestamp,is_fraud,hour,amount_category,is_night,amount_cat,high_gas
1937bdca-8b52-4605-911e-e23d7d4e4f0e,wallet_92,wallet_90,0.4704,0.00015,1776329826,1,8,low,0,0,0
be2b1f2e-f031-45e7-b673-15e149f45350,fraud_wallet,wallet_83,1.601,0.00578,1776329826,1,8,medium,0,1,0
fcf86d4d-a54d-430e-bd68-04df5693860f,fraud_wallet,wallet_86,2.5504,0.00777,1776329826,1,8,medium,0,1,0
6a7b8f95-b654-4ef7-863c-a96311cd9396,wallet_69,wallet_93,4.6355,0.00228,1776329826,1,8,high,0,2,0
e49a401a-e17b-4aa8-8063-f80635cbdd24,wallet_89,wallet_12,4.8309,0.00426,1776329826,1,8,high,0,2,0
7276df1a-f47c-4fb0-80f0-6d3457edf701,wallet_72,wallet_88,4.8111,0.00285,1776329826,1,8,high,0,2,0
6e94e542-80ff-4920-ad55-9466d73e1c1a,wallet_38,wallet_29,4.7342,0.00519,1776329826,1,8,high,0,2,0
565142d9-e243-48f7-975f-643508828ac9,wallet_74,wallet_40,4.8449,0.0055,1776329826,1,8,high,0,2,0
07da2aea-b878-4e1e-8d96-37f437821cb2,wallet_43,wallet_73,4.5528,0.00663,1776329826,1,8,high,0,2,0
02ee21ea-27b7-4da3-bcda-d225539dabea,wallet_51,wallet_85,4.64,0.00196,1776329826,1,8,high,0,2,0
b60330ae-f45c-4732-9ee1-c87d1c7d1295,wallet_82,wallet_7,4.9494,0.00311,1776329826,1,8,high,0,2,0
ae856cb7-2cef-4c6a-81a6-3a16d8eb414c,wallet_66,wallet_47,4.7307,0.00181,1776329826,1,8,high,0,2,0
525f8ba5-e7e0-4596-b28f-51929aa7bf4f,fraud_wallet,wallet_74,3.7323,0.00523,1776329826,1,8,high,0,2,0
5aee3977-d931-4d09-8407-cfebc47de7cc,wallet_58,wallet_22,0.00995,0.00988,1776329826,1,8,low,0,0,1
54075f8d-ae97-4657-b3f4-cf6ffee6ac83,wallet_82,wallet_98,4.705,0.00738,1776329826,1,8,high,0,2,0
5194ebf9-2137-45d1-85e6-cc22d89cc736,wallet_33,wallet_84,4.526,0.00391,1776329826,1,8,high,0,2,0
a74602ed-9faf-49ec-92e0-6fbc21d2520c,wallet_56,wallet_60,4.7655,0.00428,1776329826,1,8,high,0,2,0
8244a346-ba06-4132-8c6a-2df794b23711,fraud_wallet,wallet_10,2.2599,0.00694,1776329826,1,8,medium,0,1,0
fbb67e58-8d54-4a3b-b0e2-bf49c55c686c,wallet_33,wallet_84,0.00984,0.00164,1776329826,1,8,low,0,0,0
0dad2ce7-e1dc-4705-8055-e698f3332b40,fraud_wallet,wallet_57,4.2228,0.00551,1776329826,1,8,high,0,2,0
3fb7a428-24e7-4695-a932-ce9ea7d5305f,wallet_90,wallet_69,4.9747,0.0091,1776329826,1,8,high,0,2,1
c0a0f838-d57e-498f-85fa-d7247acc02e3,wallet_32,wallet_72,4.7492,0.00885,1776329826,1,8,high,0,2,1
b7218667-e84b-495d-961f-c86cb48c4867,wallet_0,wallet_57,2.8193,0.00012,1776329826,1,8,medium,0,1,0
20d3536a-3454-4cc5-a995-a89294cf94c0,wallet_63,wallet_45,0.00463,0.00436,1776329826,1,8,low,0,0,0
