sender,receiver
wallet_25,wallet_85
wallet_93,wallet_86
wallet_69,wallet_55
wallet_33,wallet_42
wallet_92,wallet_91
wallet_10,wallet_63
wallet_36,wallet_6
wallet_18,wallet_66
wallet_50,wallet_57
wallet_24,wallet_83
wallet_12,wallet_1
wallet_27,wallet_4
wallet_3,wallet_95
wallet_1,wallet_89
wallet_74,wallet_76
wallet_49,wallet_77
wallet_27,wallet_32
wallet_4,wallet_45
wallet_92,wallet_90
wallet_79,wallet_48
wallet_93,wallet_79
wallet_99,wallet_9
wallet_10,wallet_62
wallet_39,wallet_33
wallet_57,wallet_55
wallet_75,wallet_50
wallet_69,wallet_29
wallet_18,wallet_41
wallet_77,wallet_25
wallet_86,wallet_14
wallet_34,wallet_74
wallet_25,wallet_66
wallet_44,wallet_78
fraud_wallet,wallet_83
wallet_19,wallet_4
wallet_74,wallet_94
wallet_10,wallet_89
wallet_96,wallet_84
fraud_wallet,wallet_86
wallet_69,wallet_93
wallet_8,wallet_19
wallet_12,wallet_20
wallet_22,wallet_93
wallet_48,wallet_8
wallet_89,wallet_12
wallet_24,wallet_35
wallet_9,wallet_44
wallet_14,wallet_67
wallet_72,wallet_88
wallet_38,wallet_29
wallet_74,wallet_40
wallet_34,wallet_52
wallet_55,wallet_68
wallet_21,wallet_59
wallet_51,wallet_80
wallet_2,wallet_61
wallet_29,wallet_99
wallet_90,wallet_87
wallet_90,wallet_70
wallet_43,wallet_73
wallet_71,wallet_8
wallet_99,wallet_47
wallet_0,wallet_58
wallet_51,wallet_85
wallet_8,wallet_97
wallet_95,wallet_18
wallet_10,wallet_15
wallet_82,wallet_7
wallet_66,wallet_47
wallet_32,wallet_6
wallet_87,wallet_3
wallet_80,wallet_19
wallet_16,wallet_40
wallet_29,wallet_93
wallet_26,wallet_42
fraud_wallet,wallet_74
wallet_79,wallet_68
wallet_18,wallet_6
wallet_21,wallet_91
wallet_58,wallet_22
wallet_99,wallet_24
wallet_89,wallet_99
wallet_82,wallet_98
wallet_10,wallet_72
