tx_id,sender,receiver,amount,gas_fee,timestamp,is_fraud,hour,amount_category,is_night
f3d5ce9b-2262-417d-9216-57faa1c7f173,wallet_97,wallet_19,1.6282,0.00069,1776328810,0,8,medium,0
6a91c949-3089-48dc-8750-cea02b8e0b2e,wallet_57,wallet_75,4.1884,0.00917,1776328810,0,8,high,0
faab784f-f22e-4742-b9f2-5d16cc502b94,wallet_54,wallet_74,0.8519,0.0012,1776328810,0,8,low,0
5b9eff51-9c7e-4364-8b27-1a34b7782610,wallet_87,wallet_32,1.818,0.0064,1776328810,0,8,medium,0
6f54f650-129a-42ec-84c9-6d4e157d87f1,wallet_75,wallet_68,1.9603,0.00642,1776328810,0,8,medium,0
b9413e4f-553c-454a-b3f1-7ddadd16a12f,wallet_18,wallet_72,2.5199,0.00704,1776328810,0,8,medium,0
eaf6517d-4606-4335-8a3b-0abaae74e9b3,wallet_12,wallet_88,0.8745,0.00574,1776328810,0,8,low,0
494898f4-d763-47b4-9e02-372fefb09371,wallet_25,wallet_39,0.6944,0.00356,1776328810,0,8,low,0
1d415add-e153-499c-b878-8d68fbda4c0e,wallet_81,wallet_18,3.6706,0.00565,1776328810,0,8,high,0
f7a8054b-d237-4757-8221-1dce1367ecbb,wallet_26,wallet_7,0.3544,0.00247,1776328810,0,8,low,0
400a7694-e016-4d4f-a36a-2e638e806492,wallet_71,wallet_21,4.355,0.00629,1776328810,0,8,high,0
cd4d515d-4185-49d9-9697-7cacb20184e8,wallet_68,wallet_79,0.825,0.00258,1776328810,0,8,low,0
774dfb9f-85c5-4294-bd0d-82c0dc3a2570,wallet_21,wallet_74,1.7683,0.00402,1776328810,0,8,medium,0
6f07a114-0d3b-4e38-888d-7dbf52b5db08,wallet_44,wallet_62,2.7102,0.0092,1776328810,0,8,medium,0
fb11f4a2-ac66-440b-a17a-b93e3ae01265,wallet_9,wallet_56,1.3024,0.00655,1776328810,0,8,medium,0
278cd839-61d7-44a1-9e15-9eb4143104f2,wallet_74,wallet_39,2.628,0.00468,1776328810,0,8,medium,0
02d3cd3b-80a5-4ba4-941f-9464e4918b77,wallet_18,wallet_73,2.8256,0.00451,1776328810,0,8,medium,0
608643af-7afa-48f6-bc78-c7d782e4a527,wallet_20,wallet_74,0.4633,0.00689,1776328810,0,8,low,0
f015a5b8-77f9-4007-a2e6-9103baaf73a7,wallet_86,wallet_62,2.6089,0.00126,1776328810,0,8,medium,0
328f7b3a-fa94-4109-9555-a42840d79c07,wallet_49,wallet_71,2.0353,0.00216,1776328810,0,8,medium,0
c0da4db2-bfe1-4426-8d02-4d93d9fa227e,wallet_32,wallet_43,2.708,0.00435,1776328810,0,8,medium,0
8b79f332-235d-4af1-aa92-02ab37c18034,wallet_25,wallet_80,2.1318,0.00025,1776328810,0,8,medium,0
a36ae06f-a626-4b27-85cf-6f8859dcc8d3,wallet_41,wallet_18,4.0698,0.00056,1776328810,0,8,high,0
